Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
холбоотой	associated	"Хотонд нь өдий төдий хонь холбоотой ажээ.
Үхэвч төрөвч үйл заяагаар холбоотой нутгаасаа "	холбоотой санаануудын нэгдэл	a conjugation of related ideas	<p>энэ асуудалтай уялдаа холбоотой баримтууд: the facts relative to this problem</p><p>холбоотой талуудын ажил гүйлгээ: related party transactions</p><p>холбоотой талын тодруулга: related party disclosures</p><p>холбоотой санаануудын нэгдэл: a conjugation of related ideas</p>	[sound:109595.mp3]	4575	109595
эсрэг	against	"Эсрэг талын тарган лам, бачимдсан мэт амьсгаадан сөөнгө дуугаар хэлсэн.
- Тэр нь заримдаа эсрэг тэсрэг ангиудын хоорондын цуст мөргөлдөөн болж хувирдаг ч байжээ."	эсрэг зорилготой байх	at cross purposes	<p>эсрэг чиглэлд: in the opposite direction</p><p>хулгай дээрмийн эсрэг даатгуулах: insurance against burglary</p><p>луйврын эсрэг хамгаалалт: safeguard against fraud</p><p>өмчийн эсрэг гэмт хэрэг: crime against property</p><p>доод шатны шүүхийн эсрэг шийдвэр: the reverse decision of a lower court</p><p>эсрэг түрээс: reverse lend lease</p><p>дүрмийн эсрэг явах: to run counter to the rules</p><p>баримтын эсрэг: contrary to fact</p><p>вирусийн эсрэг програм хангамж: anti-virus software</p><p>ухуулгын эсрэг програм хангамж: anti-spam software</p><p>хүчээр худалдан авахын эсрэг заалт: anti-takeover provision</p><p>эсрэг тал: an inverse side</p><p>эсрэг үзэл бодолтой байх: holding contrary views</p><p>баримтын эсрэг: contrary to fact</p><p>ямар нэг юмны эсрэг байгаа: anti</p><p>эсрэг зорилготой байх: at cross purposes</p>	[sound:137515.mp3]	4568	137515
төсөл	project	Эндэх тагнуулын албаныхан, холбоо, 	төлөвлөлтийн үедээ явж буй төсөл	project in the planning stage	<p>төсөл хэрэгжүүлэгч: project proponent</p><p>агуу их төсөл: grand project</p><p>төлөвлөлтийн үедээ явж буй төсөл: project in the planning stage</p><p>төлөвлөлтийн үедээ явж буй төсөл: project in the planning stage</p>	[sound:88981.mp3]	4534	88981
ажиллах	did	 Та энэ залуутай хамт ажиллах болно шүү.	цаг барьж ажиллах	keep good time	<p>илүү цагаар ажиллах: to work overtime</p><p>мөнгөн шагналгүй ажиллах: to work without pecuniary reward</p><p>ямар ч нөхөн төлөөсгүйгээр чармайн ажиллах: to work hard without recompense</p><p>зав зайгүй ажиллах: get off one's butt</p><p>агент зуучлагчаар ажиллах: serve as a mediator</p><p>хянуур ажиллах: to act with discretion</p><p>шүүгч болон ажиллах: to act as umpire</p><p>хурдан шаламгай ажиллах: go to town</p><p>засгийн газарт орж ажиллах: to go into a cabinet</p><p>ажиллах хүчний хомсдол: shortage of labour</p><p>ажиллах хүчний хомсдол: scarcity of labour</p><p>хямд ажиллах хүчийг нутагтаа оруулах: to immigrant cheap labour</p><p>ядрахаа мэдэхгүй ажиллах: keep one's nose to the grindstone</p><p>цаг барьж ажиллах: keep good time</p>	[sound:2502.mp3]	4436	2502
холбогдох	to connect	"Удсан ч үгүй хонгил мөргөцөг хоёр холбогдов.
 Хувьсгалын уран зохиол нь нийт хүн төрөлхтөнд холбогдож хэрэглэгдэх буюу ..
- Базаахгүй хэргийн учирт холбогдож байгаад энд ирсэн."	холбогдох	get in touch with someone	<p>холбогдох баримт бичгийг бэлэн болгох: to have all the relevant documents ready</p><p>холбогдох: get in touch with someone</p><p>холбогдох сонирхогч талууд: concerned paties</p><p>холбогдох: get in touch with someone</p>	[sound:109529.mp3]	4271	109529
т	other while					[sound:82785.mp3]	4118	82785
аюулгүй	safe	Аюулгүй алсыг давсан тул алжаалгүй номыг үзэх чухал.	аюулгүй холимог алгоритм	secure hash algorithm	<p>аюулгүй газар: a safe place</p><p>виртуал аюулгүй хадгаламжийн хайрцаг: virtual safe deposit box</p><p>хүүхдэд аюулгүй: Safe for Kids</p><p>аюулгүй байдлыг хангах: to secure safety</p><p>аюулгүй хэлбэржсэн нөөц заагч: secure URL</p><p>Аюулгүй Холимог Алгоритм: Secure Hash Algorithm</p>	[sound:8820.mp3]	4083	8820
дээд	upper	"- Мөнгөн дээд орой нь мөс цасанд хучмал мөнх тэнгэрийн мөнгөн цагаан багана.
- Зогсон харахул дээд хөтлөөр хэдэн морьтой айсуй.
 - Олон түшмэдийн дээрээ ухаант сэргэлэн гүнж хэмээхэд хүрэх эрхэм дээд эрх жаргалтай аж.
- Би очоод дээд газар очиж нэгдэл байгуулах санал оруулах гэж бодоод байх боллоо.
- Зургаан жил ажиллаад хөдөө аж ахуйн дээд сургуульд сурч малын эмч болсон.
 - Дээд өнгөн 
- Нэг ангид дээд тал нь тавиад хүүхэд байна.
- Дээд зах нь ная хүрч байна."	дээд хүмүүстэй нь уулзах	over one's head	<p>дээд шатны удирдлага: top executive management</p><p>хамгийн дээд талд: at the top of the tree</p><p>дээд талын тавиур дээр: on the top shelf</p><p>шийтгэлийн дээд хэмжээ: maximum penalty</p><p>дээд шүүх: the supreme court</p><p>дээд шүүх: supreme court</p><p>дээд чанарын: superior in quality</p><p>дээд ангийн лам нар: high ranking lamas</p><p>дээд давхарт гарах: to go upstairs</p><p>дээд ангийн лам нар: high ranking lamas</p><p>хамгийн бага үнэтэй дээд зэргийн бараа: first-rate goods at knockdown prices</p><p>дээд чанарын бараа: goods of first-rate quality</p><p>дээд шатны шүүхээр хэлэлцүүлэхээр оруулах: to refer the question to a higher court</p><p>хэргийг дээд шатны шүүхэд шилжүүлэх: to carry a case to a higher court</p><p>дээд шатны шүүхэд давж заалдах: to appeal to a higher court</p><p>дээд хүмүүстэй нь уулзах: over one's head</p>	[sound:38783.mp3]	4063	38783
р	to trill					[sound:74070.mp3]	3972	74070
дэд	deputy	" - Дэд дэвжээнд өгсүүлэн суулга.
Туул уруудан Сонгинын биокомбинатыг  үзээд буцах замдаа дэд ерөнхийлөгч ойрхон харагдаж байгаа уяачдын отог дээр очьё гэдэг юм байна.
- Сүхбаатарын цэрэгтэй нийлж Хиагтыг чөлөөлөх байлдаанд дэд жанжны үүрэг хүлээж идэвхтэй оролцсон байна.
Төрийн тэргүүн сайдад Цоросбайтай хамт албан хааж байсан Сатай хэмээх монгол сайдыг болгосонгүй дэд сайд хэвээр үлдээжээ.
Уран гартай хүн олон байдаг, гэлээ ч хэргийн учир гартаа байна уу үгүй юу гэдгийг өвгөн дэд хурандаа яахан мэдэх билээ. 
Сургуулиа гэминд тараалгахад үсэг холбож уншаад, бийр барин бичиж бараг чаддаггүй байсан миний хүү одоо дэд эрдэмтэн болох гэж, ач хүү минь одоо бага сургуульд орох гэж байгааг бодоход, магнай минь тэнийж байна даа, хүүхээ!"				[sound:37824.mp3]	3954	37824
